# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416335470;sda;19.76;20.94;988.73;51.11;0.34;17.13;0.57;1.13
axle;60;1416335530;sda;6.23;0.54;868.99;139.59;0.03;4.02;0.22;0.13
axle;60;1416335590;sda;7.21;0.27;953.75;132.26;0.05;6.24;0.22;0.16
axle;60;1416335650;sda;7.61;16.72;954.33;127.67;0.04;5.68;0.18;0.13
axle;60;1416335710;sda;6.81;0.27;900.92;132.37;0.03;4.63;0.20;0.13
axle;60;1416335770;sda;6.29;0.13;795.59;126.43;0.03;4.10;0.22;0.14
axle;60;1416335830;sda;6.40;0.00;941.95;147.20;0.03;5.42;0.21;0.13
axle;60;1416335890;sda;6.51;0.00;845.02;129.74;0.04;6.16;0.21;0.13
axle;60;1416335950;sda;8.26;0.27;945.84;114.49;0.05;5.47;0.19;0.15
axle;60;1416336010;sda;6.16;0.27;819.76;133.14;0.03;4.27;0.17;0.11
axle;60;1416336070;sda;6.89;0.13;991.96;144.06;0.04;5.91;0.22;0.15
axle;60;1416336130;sda;6.45;0.00;634.24;98.32;0.03;5.32;0.19;0.12
axle;60;1416336190;sda;7.35;0.00;1029.26;140.07;0.04;5.90;0.20;0.15
axle;60;1416336250;sda;5.76;0.00;735.26;127.72;0.03;4.66;0.20;0.11
axle;60;1416336310;sda;2.88;10.94;171.50;63.26;0.00;0.69;0.12;0.03
axle;60;1416336370;sda;0.93;0.00;53.07;56.86;0.00;0.00;0.00;0.00
axle;60;1416336430;sda;1.17;0.27;80.47;69.14;0.00;0.06;0.06;0.01
axle;60;1416336490;sda;0.97;0.13;62.54;64.83;0.00;0.00;0.00;0.00
axle;60;1416336550;sda;1.03;0.00;60.55;58.58;0.00;0.71;0.13;0.01
axle;60;1416336610;sda;1.00;0.00;68.06;68.00;0.00;0.13;0.13;0.01
axle;60;1416336670;sda;0.92;0.00;63.02;68.65;0.00;0.00;0.00;0.00
