# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416335470;0.00;0.00
axle;60;1416335530;0.00;0.00
axle;60;1416335590;0.00;0.00
axle;60;1416335650;0.00;0.00
axle;60;1416335710;0.00;0.00
axle;60;1416335770;0.00;0.00
axle;60;1416335830;0.00;0.00
axle;60;1416335890;0.00;0.00
axle;60;1416335950;0.00;0.00
axle;60;1416336010;0.00;0.00
axle;60;1416336070;0.00;0.00
axle;60;1416336130;0.00;0.00
axle;60;1416336190;0.00;0.00
axle;60;1416336250;0.00;0.00
axle;60;1416336310;0.00;0.00
axle;60;1416336370;0.00;0.00
axle;60;1416336430;0.00;0.00
axle;60;1416336490;0.00;0.00
axle;60;1416336550;0.00;0.00
axle;60;1416336610;0.00;0.00
axle;60;1416336670;0.00;0.00
