Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

07:30:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:31:10 PM     all     77.87      0.00     19.43      0.12      0.00      2.58
07:32:10 PM     all     74.69      0.00     19.60      0.00      0.00      5.71
07:33:10 PM     all     76.41      0.00     18.61      0.00      0.00      4.98
07:34:10 PM     all     75.36      0.00     22.05      0.00      0.00      2.59
07:35:10 PM     all     77.21      0.00     21.44      0.00      0.00      1.35
07:36:10 PM     all     76.20      0.00     21.81      0.00      0.00      1.99
07:37:10 PM     all     75.07      0.00     23.46      0.00      0.00      1.47
07:38:10 PM     all     73.79      0.00     23.38      0.00      0.00      2.83
07:39:10 PM     all     75.46      0.00     22.65      0.00      0.00      1.89
07:40:10 PM     all     76.74      0.00     21.17      0.00      0.00      2.09
07:41:10 PM     all     79.85      0.00     18.76      0.00      0.00      1.39
07:42:10 PM     all     78.62      0.00     19.38      0.00      0.00      2.00
07:43:10 PM     all     72.18      0.00     22.58      0.00      0.00      5.24
07:44:10 PM     all     39.68      0.00     13.20      0.00      0.00     47.12
07:45:10 PM     all      9.76      0.00      1.57      0.00      0.00     88.67
07:46:10 PM     all      5.37      0.00      1.33      0.00      0.00     93.30
07:47:10 PM     all      5.55      0.00      1.28      0.00      0.00     93.17
07:48:10 PM     all      5.35      0.00      1.27      0.00      0.00     93.39
07:49:10 PM     all      5.33      0.00      1.24      0.00      0.00     93.43
07:50:10 PM     all      5.44      0.00      1.14      0.00      0.00     93.42
07:51:10 PM     all      5.38      0.00      1.66      0.00      0.00     92.96
